AWS Service,Actions/Permissions,Resources ARNs,Tags / Conditions,Comments,Business justification
S3,Allow s3:ListAllMyBuckets,*,,Policy: S3-DevAccess / Sid: ListNexus,Enumerate buckets for workflows/UI.
S3,Allow s3:ListBucket,arn:aws:s3:::nexus,"StringLike s3:prefix=[incoming/*, analytics-hub/*, prism/*, lab-workshop/*]
StringEquals aws:sourceVpce=<YOUR_VPCE_ID>",Policy: S3-DevAccess / Sid: ListPrefixes,Browse required prefixes for development/testing.
S3,"Allow s3:GetObject
Allow s3:PutObject
Allow s3:DeleteObject","arn:aws:s3:::nexus/lab-workshop/*
arn:aws:s3:::nexus/analytics-hub/*",StringEquals aws:sourceVpce=<YOUR_VPCE_ID>,Policy: S3-DevAccess / Sid: RWDevAndAnalytics,Write ETL scripts and dev outputs; save Athena results.
S3,Allow s3:GetObject,arn:aws:s3:::nexus/prism/*,StringEquals aws:sourceVpce=<YOUR_VPCE_ID>,Policy: S3-DevAccess / Sid: ReadPrismOnly,Read curated data for development/validation.
S3,"Deny s3:PutObject
Deny s3:DeleteObject","arn:aws:s3:::nexus/prism/*
arn:aws:s3:::nexus/icebox/*",,Guardrail: DenyWriteCuratedRaw,Protect curated (prism) and raw (icebox) from human writes.
Glue (Catalog),"Allow glue:GetDatabase
Allow glue:GetDatabases
Allow glue:GetTable
Allow glue:GetTables
Allow glue:SearchTables","arn:aws:glue:us-east-1:111122223333:catalog
arn:aws:glue:us-east-1:111122223333:database/*
arn:aws:glue:us-east-1:111122223333:table/*/*",,Read metadata across the catalog for development.,Builders need to inspect schema/metadata.
Glue (Catalog),"Deny glue:DeleteTable
Deny glue:BatchDeleteTable
Deny glue:DeleteDatabase","arn:aws:glue:us-east-1:111122223333:database/prism
arn:aws:glue:us-east-1:111122223333:table/prism/*",,Guardrail: Deny destructive DDL in curated (prism).,Avoid accidental deletion of production tables/db.
Glue (Catalog),"Allow glue:CreateTable
Allow glue:UpdateTable
Allow glue:GetPartition
Allow glue:GetPartitions","arn:aws:glue:us-east-1:111122223333:catalog
arn:aws:glue:us-east-1:111122223333:database/prism
arn:aws:glue:us-east-1:111122223333:table/prism/*",,Permit non-destructive schema evolution and reads in curated.,Allow safe updates; drops remain denied (Lake Formation also applies).
Glue (Catalog),"Allow glue:CreateDatabase
Allow glue:UpdateDatabase
Allow glue:DeleteDatabase
Allow glue:CreateTable
Allow glue:UpdateTable
Allow glue:DeleteTable
Allow glue:GetDatabase
Allow glue:GetTable
Allow glue:GetTables","arn:aws:glue:us-east-1:111122223333:catalog
arn:aws:glue:us-east-1:111122223333:database/security_scratch
arn:aws:glue:us-east-1:111122223333:table/security_scratch/*",,Full control of scratch DB.,Builders need a safe sandbox for DDL.
Glue (Catalog),"Allow glue:CreatePartition
Allow glue:BatchCreatePartition
Allow glue:UpdatePartition
Allow glue:BatchUpdatePartition
Allow glue:DeletePartition
Allow glue:BatchDeletePartition
Allow glue:GetPartition
Allow glue:GetPartitions
Allow glue:CreatePartitionIndex
Allow glue:DeletePartitionIndex
Allow glue:GetPartitionIndexes","arn:aws:glue:us-east-1:111122223333:table/security_scratch/*
arn:aws:glue:us-east-1:111122223333:table/prism/*",Note: Lake Formation enforces write privileges on curated tables,Partition & index management (curated writes still governed by LF).,Enable partition CRUD and performance indexes.
